"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore"
"Neolamprologus brevis","Neolamprologus brevis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus calliurus","Neolamprologus calliurus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Lamprologus callipterus","Lamprologus callipterus","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Lamprologus ocellatus","Lamprologus ocellatus","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Lamprologus speciosus","Lamprologus speciosus","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Altolamprologus calvus","Altolamprologus calvus","Altolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Altolamprologus compressiceps","Altolamprologus compressiceps","Altolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Lepidiolamprologus mimicus","Lepidiolamprologus mimicus","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Lepidiolamprologus profundicola","Lepidiolamprologus profundicola","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Lepidiolamprologus kendalli","Lepidiolamprologus kendalli","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Lepidiolamprologus nkambae","Lepidiolamprologus nkambae","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Lepidiolamprologus elongatus","Lepidiolamprologus elongatus","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Lepidiolamprologus kamambae","Lepidiolamprologus kamambae","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","pelagic","piscivore"
"Neolamprologus boulengeri","Neolamprologus boulengeri","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus meeli","Neolamprologus meeli","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Lepidiolamprologus attenuatus","Lepidiolamprologus attenuatus","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Neolamprologus pleuromaculatus","Neolamprologus pleuromaculatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Lamprologus lemairii","Lamprologus lemairii","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","piscivore"
"Neolamprologus leloupi","Neolamprologus leloupi","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus caudopunctatus","Neolamprologus caudopunctatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus fasciatus","Neolamprologus fasciatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Neolamprologus multifasciatus","Neolamprologus multifasciatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus similis","Neolamprologus similis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Lamprologus ornatipinnis","Lamprologus ornatipinnis","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus ventralis","Neolamprologus ventralis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Lamprologus kungweensis","Lamprologus kungweensis","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Lamprologus laparogramma","Lamprologus laparogramma","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Lamprologus signatus","Lamprologus signatus","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","bathydemersal","non-piscivore"
"Bathybates graueri","Bathybates graueri","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Bathybates minor","Bathybates minor","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Bathybates fasciatus","Bathybates fasciatus","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Bathybates hornii","Bathybates hornii","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Bathybates leo","Bathybates leo","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Bathybates vittatus","Bathybates vittatus","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Bathybates ferox","Bathybates ferox","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Hemibates koningsi","Hemibates koningsi","Hemibates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Hemibates stenosoma","Hemibates stenosoma","Hemibates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Boulengerochromis microlepis","Boulengerochromis microlepis","Boulengerochromis","Boulengerochromini","Other","Lake Tanganyika","not_applicable","substrate_brooder","pelagic","piscivore"
"Trematocara macrostoma","Trematocara macrostoma","Trematocara","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Trematocara nigrifrons","Trematocara nigrifrons","Trematocara","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Trematocara zebra","Trematocara zebra","Trematocara","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Trematocara caparti","Trematocara caparti","Trematocara","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Trematocara stigmaticum","Trematocara stigmaticum","Trematocara","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Trematocara marginatum","Trematocara marginatum","Trematocara","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Trematocara unimaculatum","Trematocara unimaculatum","Trematocara","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Gobiocichla ethelwynnae","Gobiocichla ethelwynnae","Gobiocichla","Gobiocichlini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Gobiocichla wonderi","Gobiocichla wonderi","Gobiocichla","Gobiocichlini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Steatocranus irvinei","Steatocranus irvinei","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Etia nguti","Etia nguti","Etia","Etiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Chilochromis duponti","Chilochromis duponti","Chilochromis","Tilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Tilapia guinasana","Tilapia guinasana","Tilapia","Tilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Tilapia sparrmanii","Tilapia sparrmanii","Tilapia","Tilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Steatocranus rouxi","Steatocranus rouxi","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Steatocranus gibbiceps","Steatocranus gibbiceps","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Steatocranus glaber","Steatocranus glaber","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Steatocranus mpozoensis","Steatocranus mpozoensis","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Steatocranus tinanti","Steatocranus tinanti","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Steatocranus casuarius","Steatocranus casuarius","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Steatocranus ubanguiensis","Steatocranus ubanguiensis","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Pelmatolapia mariae","Pelmatolapia mariae","Pelmatolapia","Pelmatolapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Oreochromis tanganicae","Oreochromis tanganicae","Oreochromis","Oreochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Alcolapia grahami","Alcolapia grahami","Alcolapia","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Alcolapia alcalica","Alcolapia alcalica","Alcolapia","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Iranocichla hormuzensis","Iranocichla hormuzensis","Iranocichla","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Oreochromis mortimeri","Oreochromis mortimeri","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Oreochromis shiranus","Oreochromis shiranus","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Oreochromis malagarasi","Oreochromis malagarasi","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Oreochromis macrochir","Oreochromis macrochir","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Oreochromis leucostictus","Oreochromis leucostictus","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Oreochromis niloticus","Oreochromis niloticus","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Sarotherodon galilaeus","Sarotherodon galilaeus","Sarotherodon","Oreochromini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Pungu maclareni","Pungu maclareni","Pungu","Oreochromini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Sarotherodon linnellii","Sarotherodon linnellii","Sarotherodon","Oreochromini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Sarotherodon melanotheron","Sarotherodon melanotheron","Sarotherodon","Oreochromini","Other","Riverine","not_applicable","paternal_mouthbrooder","demersal","non-piscivore"
"Tylochromis labrodon","Tylochromis labrodon","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis sudanensis","Tylochromis sudanensis","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis praecox","Tylochromis praecox","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis robertsi","Tylochromis robertsi","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis lateralis","Tylochromis lateralis","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis variabilis","Tylochromis variabilis","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis bangwelensis","Tylochromis bangwelensis","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis polylepis","Tylochromis polylepis","Tylochromis","Tylochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Tylochromis leonensis","Tylochromis leonensis","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Tylochromis jentinki","Tylochromis jentinki","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Heterochromis multidens","Heterochromis multidens","Heterochromis","Heterochromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
