node,mean,median,sd,n,CI_upper,CI_lower,notes
653,3.478916104,3.480676,0.069405286,18005,3.479929904,3.477902305,
654,3.476819174,3.477874,0.065596593,18005,3.47777734,3.475861008,
655,3.47016043,3.469426,0.066555583,18005,3.471132604,3.469188256,
656,3.449983722,3.451039,0.050680099,18005,3.450724003,3.44924344,
657,3.508298562,3.508911,0.065832198,18005,3.50926017,3.507336955,
658,3.509434069,3.510092,0.06644938,18005,3.510404692,3.508463446,
659,3.530278838,3.529824,0.064060978,18005,3.531214573,3.529343102,
660,3.549078153,3.55094,0.088797608,18005,3.550375215,3.547781091,
661,3.550048422,3.550688,0.089064252,18005,3.551349379,3.548747465,
662,3.53982814,3.540755,0.068227818,18005,3.54082474,3.538831539,
663,3.545817025,3.550136,0.027153313,18005,3.546213652,3.545420398,
664,3.545950288,3.549824,0.027318757,18005,3.546349332,3.545551245,
665,3.542314779,3.543368,0.040416768,18005,3.542905145,3.541724413,
666,3.530793375,3.530622,0.062378029,18005,3.531704527,3.529882222,
667,3.539856299,3.540186,0.059634,18005,3.54072737,3.538985229,
668,3.60545016,3.603225,0.049332049,18005,3.606170751,3.604729569,
669,3.599403373,3.600101,0.039475342,18005,3.599979987,3.598826758,
670,3.592584017,3.592064,0.030039467,18005,3.593022802,3.592145232,
671,3.582039205,3.586152,0.095400841,18005,3.58343272,3.580645689,
672,3.610530238,3.611188,0.077468686,18005,3.61166182,3.609398657,
673,3.614214415,3.616636,0.066760043,18005,3.615189576,3.613239255,
674,3.620599444,3.621346,0.064533537,18005,3.621542082,3.619656806,
675,3.601220357,3.602392,0.049327062,18005,3.601940875,3.600499839,
676,3.572419668,3.570564,0.064458782,18005,3.573361214,3.571478122,
677,3.446117514,3.449289,0.136141063,18005,3.44810612,3.444128909,
678,3.48741004,3.486574,0.078686742,18005,3.488559413,3.486260667,
679,3.499778159,3.499783,0.076864603,18005,3.500900917,3.498655402,
680,3.510706635,3.50994,0.047999584,18005,3.511407763,3.510005508,
681,3.511691788,3.510217,0.048209485,18005,3.512395981,3.510987594,
682,3.515916742,3.515331,0.046299331,18005,3.516593034,3.51524045,
683,3.516547508,3.515507,0.045381791,18005,3.517210397,3.515884618,
684,3.518561612,3.517498,0.041515739,18005,3.51916803,3.517955194,
685,3.527562014,3.527631,0.026795242,18005,3.527953411,3.527170617,
