"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"512","Telmatochromis bifrenatus","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore",-4.13389445397282,3.99932075378795,1.42918852137313,-0.231424627643965,0.0370512170323732,0.0617789554691446,-2.55207614099286e-11
"513","Telmatochromis brachygnathus","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.69414671276931,3.08776522138941,-0.065575495068235,0.114082421580622,0.0681987352386039,0.0418914969571186,-2.55403744532767e-11
"521","Telmatochromis temporalis","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore",-2.42160125173367,3.33035196197466,0.360041286054538,0.24884305218212,0.0508731047643153,0.0537109679071498,-2.55579847505995e-11
"295","Neolamprologus devosi","Neolamprologus","Lamprologini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.62402117985811,4.19649662249216,1.9401614996648,0.0981567908841289,0.0425930749530134,0.0630673267550379,-2.55575229199638e-11
"318","Neolamprologus pulcher","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.84012456385227,1.85322390607187,-0.578308362041187,0.226387941578021,0.0290518092466857,0.0176766809641918,-2.54799149811255e-11
"296","Neolamprologus falcicula","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.02487853965296,2.90709042492652,0.247303988019253,0.359352013234741,0.0375545628101402,0.0487129059867123,-2.55475144147146e-11
"337","Neolamprologus walteri","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.93802224072721,2.90322402146012,0.505440606532018,0.238710022519382,0.0364952042727687,0.0545086776314773,-2.55764623642248e-11
"331","Neolamprologus splendens","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.04976872076221,2.90748937473133,-0.258768509977286,0.455492830213874,0.0437942533464766,0.0433156821559951,-2.55090212725075e-11
"299","Neolamprologus gracilis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.90936401221457,2.24960824685036,-0.312730089791848,0.234214485191949,0.0318424325470703,0.0203654814861972,-2.54225713770158e-11
"304","Neolamprologus marunguensis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.71372025797712,1.94605015791117,-0.599647013532129,0.252884994938246,0.0390473381278352,0.0168860739732187,-2.54655361687861e-11
"319","Neolamprologus savoryi","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.34912787343408,2.85641307592963,0.640606397283224,0.435189307302714,0.0303955330069986,0.0590354291733656,-2.56058387520057e-11
