node,tribe,subtribe,water_system,notes
793,Bathybatini,,Lake Tanganyika,
794,Bathybatini,,Lake Tanganyika,
795,Bathybatini,,Lake Tanganyika,
796,Bathybatini,,Lake Tanganyika,
797,Bathybatini,,Lake Tanganyika,
798,Trematocarini,,Lake Tanganyika,
799,Trematocarini,,Lake Tanganyika,
800,Trematocarini,,Lake Tanganyika,
801,Trematocarini,,Lake Tanganyika,
802,Trematocarini,,Lake Tanganyika,
803,Trematocarini,,Lake Tanganyika,
804,Coptodonini,,Riverine,
805,Coptodonini,,Riverine,
806,Coptodonini,,Riverine,
807,Coptodonini,,Riverine,
808,Coptodonini,,Riverine,
809,Oreochromini,,Riverine,
810,Oreochromini,,Riverine,
811,Oreochromini,,Riverine,
812,Oreochromini,,Riverine,
813,Oreochromini,,Riverine,
814,Oreochromini,,Riverine,
815,Oreochromini,,Riverine,
816,Oreochromini,,Riverine,
817,Oreochromini,,Riverine,
818,Oreochromini,,Riverine,
819,Oreochromini,,Riverine,
820,Oreochromini,,Riverine,
821,Oreochromini,,Riverine,
822,Ancestral,,Riverine,
823,Hemichromini,,Riverine,
824,Pelmatochromini,,Riverine,
825,Pelmatochromini,,Riverine,
826,Pelmatochromini,,Riverine,
827,Ancestral,,Riverine,
828,Chromidotilapiini,,Riverine,
829,Chromidotilapiini,,Riverine,
830,Chromidotilapiini,,Riverine,
831,Chromidotilapiini,,Riverine,
832,Chromidotilapiini,,Riverine,
833,Chromidotilapiini,,Riverine,
834,Chromidotilapiini,,Riverine,
835,Chromidotilapiini,,Riverine,
836,Chromidotilapiini,,Riverine,
837,Chromidotilapiini,,Riverine,
838,Chromidotilapiini,,Riverine,
839,Chromidotilapiini,,Riverine,
840,Chromidotilapiini,,Riverine,
841,Chromidotilapiini,,Riverine,
842,Chromidotilapiini,,Riverine,
843,Chromidotilapiini,,Riverine,
844,Chromidotilapiini,,Riverine,
845,Chromidotilapiini,,Riverine,
846,Chromidotilapiini,,Riverine,
847,Chromidotilapiini,,Riverine,
848,Chromidotilapiini,,Riverine,
849,Tylochromini,,Riverine,
850,Tylochromini,,Riverine,
851,Tylochromini,,Riverine,
852,Tylochromini,,Riverine,
853,Tylochromini,,Riverine,
854,Tylochromini,,Riverine,
855,Tylochromini,,Riverine,
856,Tylochromini,,Riverine,
857,Tylochromini,,Riverine,
